pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-01,809.94
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-02,809.9
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-03,811.52
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-04,810.1
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-05,810.25
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-06,810.07
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-07,809.6
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-08,809.7
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-09,809.67
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-10,811.32
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-11,809.91
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-12,810.05
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-13,810.08
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-14,809.69
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-15,809.79
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-16,809.76
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-17,811.41
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-18,810.05
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-19,810.19
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-20,810.14
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-21,809.74
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-22,809.85
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-23,809.81
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-24,811.42
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-25,809.92
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-26,810.06
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-27,810.0
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-28,808.83
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-29,792.08
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-30,791.57
Lexington,Fort Wayne,360,Dry Van,32000.0,2025-12-31,793.14
